Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
East Anglia One North,EAST ANGLIA ONE LIMITED,EA1N 275/66kV Offshore Platform,,0,860,860,2026-03-31,Awaiting Consents,Directly Connected,NGET,Wind Offshore,a0l4L0000005irN,PRO-000269
East Anglia Three,EAST ANGLIA THREE LIMITED,East Anglia Project Three Offshore Platform,1,0,1200,1200,2026-01-31,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005irO,PRO-000270-1
East Anglia Three,EAST ANGLIA THREE LIMITED,East Anglia Project Three Offshore Platform,2,0,100,1300,2028-12-31,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005irO,PRO-000270-2
East Anglia Two,EAST ANGLIA TWO LIMITED,EA2A and EA2B 275/66kV Offshore Platform,,0,860,860,2025-12-31,Awaiting Consents,Directly Connected,NGET,Wind Offshore,a0l4L0000005ioH,PRO-000134
East Claydon Green Energy Centre,INNOVA RENEWABLES LIMITED,East Claydon 400kV Substation,,0,1025,1025,2034-10-01,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivL,PRO-002383
East Claydon Greener Grid Park,STATKRAFT UK LTD,East Claydon 400kV Substation,,0,650,650,2036-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iwg,PRO-002314
East Claydon High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,East Claydon 400kV Substation,,0,1000,1000,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Nuclear; PV Array (Photo Voltaic/solar); Reactive Compensation; Wind Onshore,a0l8e0000010wW3,PRO-002652
East Claydon Solar PV,STATERA ENERGY LIMITED,East Claydon 400kV Substation,,0,500,500,2026-10-01,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ivt,PRO-001573
East Pit,CS UK HOLDINGS III LIMITED,Rhigos 400kV Substation,,0,750,750,2037-10-15,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wdf,PRO-002736
Eaton Socon High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,Eaton Socon 400kV Substation,,0,1000,1000,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; Nuclear; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e0000010wWN,PRO-002656
Eaton Socon PV Storage,CSE37 Limited,Eaton Socon 400kV Substation,,0,49.9,49.9,2029-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivc,PRO-002218
Eaton Socon Solar,RNA-ENERGY LTD,Eaton Socon 400kV Substation,,0,500,500,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ifs,PRO-001513
Eccles BESS,WEAVER POWER LIMITED,Eccles 400kV Substation,,0,500,500,2026-04-12,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005idE,PRO-001470
EcoGrainWest,Econergy International Limited,Grain West 400kV Substation,,0,249,249,2029-12-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iuG,PRO-002223
EcoGrimsbyWest,Econergy International Limited,Grimsby West 400kV Substation,,0,249,249,2031-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iv5,PRO-002251
EcoKincardine,Econergy International Limited,Kincardine North 400kV Substation,,0,249,249,2028-07-31,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011yxG,PRO-003557
EcoLovedean,Econergy International Limited,Lovedean 400kV Substation,,0,249,249,2031-03-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iu2,PRO-002230
EcoMablethorpe,Econergy International Limited,Mablethorpe 400kV Substation,,0,249,249,2034-08-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wPH,PRO-002583
EcoStocksbridge,Econergy International Limited,Stocksbridge 400kV Substation,,0,249,249,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000ez6u,PRO-003789
EcoUskmouth,Econergy International Limited,Uskmouth 275kV Substation,,0,249,249,2029-06-14,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ic0,PRO-002052
EcoWymondley,Econergy International Limited,Wymondley 400kV Substation,,0,249,249,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005j9s,PRO-002529
EcoYaxley1,Econergy International Limited,Yaxley 400kV Substation,,0,249,249,2030-12-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ic1,PRO-002053
Edinbane Windfarm,VATTENFALL WIND POWER LTD,Edinbane GSP,1,41.4,0,41.4,,Built,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ioI,PRO-000135-1
Edinbane Windfarm,VATTENFALL WIND POWER LTD,Edinbane GSP,2,0,48.6,90,2030-01-01,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ioI,PRO-000135-2
Eggborough,SSE UTILITY SOLUTIONS LIMITED,Eggborough 400kV Substation,,0,550,550,2032-06-16,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ibx,PRO-002049
Eggborough CCGT and BESS,EGGBOROUGH POWER LIMITED,Eggborough 400kV Substation,,0,2450,2450,2026-10-01,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ikt,PRO-000136
Eggborough PV & BESS Sub,O&G Solar (SPV 47) Limited,Eggborough 400kV Substation,,0,249.9,249.9,2033-10-28,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wQt,PRO-002597
Elchies Wind Farm,ELCHIES WIND LIMITED,Elchies 132/33kV Substation,,0,99,99,2027-06-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ixh,PRO-000151
Elgin BESS,GPC 612 Ltd,Elgin GSP,,0,30,30,2028-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l8e0000010wVt,PRO-002650
Elland BESS,O&G Solar (SPV 39) Limited,Elland 132kV Substation,,0,99.9,99.9,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4nA,PRO-003870
Elland BESS,Pulse Clean Energy Limited,Elland 275kV Substation,,0,249,249,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000011xZ7,PRO-003465
Elmya Braybrooke BESS,ELMYA RPC UK BRAYBROOKE LIMITED,Braybrooke 400kV Substation,,0,252,252,2031-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ikb,PRO-002427
Elmya Dalry BESS & PV,ELMYA ENERGY UK 17 LIMITED,Hunterston 400kV Substation,,0,800,800,2033-10-25,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exYI,PRO-003735
Elmya Grange Road,ELMYA RPC UK GRANGE ROAD LIMITED,Elmya Grange 400kV,,0,300,300,2031-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005il8,PRO-002340
Elmya Hunterston,ELMYA RPC UK HUNTERSTON LIMITED,Hunterston 400kV Substation,,0,400,400,2029-10-09,Awaiting Consents,Directly Connected,SPT,Energy Storage System,a0l8e000000TPBV,PRO-003182
Elmya Melbourne BESS,ELMYA RPC UK MELBOURNE LIMITED,Thornton 400kV Substation,,0,300,300,2033-10-28,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyl,PRO-002424
ELMYA REDNAL,ELMYA RPC UK REDNAL LIMITED,Ironbridge 400kV Substation,,0,300,300,2034-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005j9Y,PRO-002526
Elstree (tertiary),ELSTREE GREEN LIMITED,Elstree 275kV Substation,1,0,49.9,49.9,2025-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iMT,PRO-000400-1
Elstree (tertiary),ELSTREE GREEN LIMITED,Elstree 275kV Substation,2,0,7.1,57,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iMT,PRO-000400-2
Elstree 400MW BESS,Hilfield Energy Limited,Elstree 400kV Substation,,0,400,400,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005itW,PRO-002169
Elstree BESS NP,NORIKER POWER LTD,Elstree 400kV Substation,,0,500,500,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wh8,PRO-002776
Elstree Energy Storage,Penso Power Limited,Elstree 132kV Substation,,0,170,170,2029-10-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPDl,PRO-003205
Elvanfoot (25MW) Energy Storage,ELVANFOOT ENERGY STORAGE LIMITED,Elvanfoot 275/132/33kV,,0,25,25,2029-10-26,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPNH,PRO-003278
Elvanfoot (50MW) Energy Storage,ELVANFOOT ENERGY STORAGE LIMITED,Elvanfoot 275/132/33kV,,0,50,50,2029-10-26,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPNM,PRO-003279
Elvanfoot (9.8 MW) Energy Storage,ELVANFOOT ENERGY STORAGE LIMITED,Elvanfoot 132kV/33kV Substation,,0,9.8,9.8,2024-12-06,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005igK,PRO-001721
Enderby (Akira),ENDERBY BATTERY STORAGE LIMITED,Enderby 400kV Substation,,0,57,57,2023-08-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ilw,PRO-000426
Enderby BESS,O&G Solar (SPV 41) Limited,Earl Shilton 400kV Substation,,0,249.9,249.9,2033-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4nK,PRO-003872
Enderby Farm,548 UK INVESTMENT HOLDINGS LIMITED,Enderby 400kV Substation,,0,200,200,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYs,PRO-002682
Enderby Farm 2,548 UK INVESTMENT HOLDINGS LIMITED,Earl Shilton 400kV Substation,,0,700,700,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010weE,PRO-002743
Enderby Green Energy Centre,INNOVA RENEWABLES LIMITED,Enderby 400kV Substation,,0,1025,1025,2028-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itg,PRO-002177
Enderby Tertiary,CLUMP FARM SOLAR LIMITED,Enderby 400kV Substation,,0,57,57,2024-05-01,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005izz,PRO-000430
Energy Isles,ENERGY ISLES SHETLAND LIMITED,Energy Isles 132kV Substation,,0,120.3,120.3,2027-04-01,Awaiting Consents,Directly Connected,SHET,Wind Onshore,a0l4L0000005imt,PRO-000447
Enfield,UNIPER UK LIMITED,Brimsdown 132kV Substation,,442,0,442,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ioS,PRO-000147
Enoch Hill,RWE RENEWABLES UK ONSHORE WIND LIMITED,Enoch Hill 132/33kV Substation,,0,69,69,2023-05-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iom,PRO-000152
EOLFI Offshore,Shell New Energies UK Ltd,Eolfi Offshore Substation,,0,3000,3000,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005ihF,PRO-001538
EPL Somerset,EPL NEWCO8 LIMITED,Taunton 400kV Substation,,0,480,480,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4yA,PRO-003905
EPL Suffolk,EPL NEWCO9 LIMITED,Norwich Main 400kV Substation,,0,480,480,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f5BY,PRO-003916
Eppynt Common,GARREG FAWR ENERGY PARK LIMITED,Pont Abraham GSP,,0,189.5,189.5,2026-10-31,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iQQ,PRO-001882
Equinor Celtic Sea 1,EQUINOR NEW ENERGY LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2036-12-06,Scoping,Directly Connected,NGET,Demand; Energy Storage System; Wind Offshore,a0l8e000000f8QC,PRO-004037
Equinor Celtic Sea 2,EQUINOR NEW ENERGY LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2036-12-06,Scoping,Directly Connected,NGET,Demand; Energy Storage System; Wind Offshore,a0l8e000000f8QH,PRO-004038
ER BBR Energy,ER PROJECT DEVELOPMENT CO LIMITED,ER BBR Energy 132kV Substation,,0,50,50,2029-10-30,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011yBv,PRO-003508
ER BR Energy,ER PROJECT DEVELOPMENT CO LIMITED,Tween Bridge 400kV,,0,1000,1000,2035-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e000000exST,PRO-003724
ER BRF 2 Energy,ER PROJECT DEVELOPMENT CO LIMITED,Bramford 400kV Substation,,0,249,249,2033-07-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exSY,PRO-003725
ER BUR Energy,ER PROJECT DEVELOPMENT CO LIMITED,Burwell South 400kV Substation,,0,57,57,2033-10-28,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exSE,PRO-003721
Erebus,BLUE GEM WIND LIMITED,Pembroke 132kV Substation,,0,91,91,2026-11-02,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005inx,PRO-000471
Eredine Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,An Suidhe 275/33kV,,0,105,105,2030-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ia2,PRO-002005
ER HTP Energy,ER PROJECT DEVELOPMENT CO LIMITED,Hawthorn Pit 400kV Substation,,0,57,57,2034-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exSJ,PRO-003722
ER LBR Energy,ER PROJECT DEVELOPMENT CO LIMITED,Littlebrook 400kV Substation,,0,57,57,2029-10-17,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exSO,PRO-003723
ER LIL Energy,ER PROJECT DEVELOPMENT CO LIMITED,Hope 400kV Substation,,0,1000,1000,2036-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exRz,PRO-003718
ER MKH Energy,ER PROJECT DEVELOPMENT CO LIMITED,Market Harborough 400kV Substation,,0,400,400,2033-10-28,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e0000010wTJ,PRO-002621
ER MSM Energy,ER PROJECT DEVELOPMENT CO LIMITED,ER MSM Energy 132kV Substation,,0,200,200,2030-10-31,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e0000011xwR,PRO-003480
Errochty,SSE GENERATION LIMITED,Errochty 132kV Substation,,75,0,75,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ihI,PRO-001541
ER TWD Energy,ER PROJECT DEVELOPMENT CO LIMITED,Llanteg 400kV Substatio,,0,700,700,2037-09-15,Scoping,Directly Connected,NGET,Energy Storage System; Wind Onshore,a0l8e000000exS4,PRO-003719
Eskrigg End BESS,Energi Generation 6 Ltd,Hutton 400kV Substation,,0,249,249,2037-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wjn,PRO-002804
Essendine,MALLARD PASS SOLAR FARM LIMITED,Ryhall (Network Rail) GSP,,0,240,240,2028-01-01,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iNf,PRO-001643
Euchanhead Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Euchanhead 132kV Substation,,0,112,112,2029-10-29,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ibQ,PRO-001011
Ewe Hill,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Ewe Hill GSP,,39,0,39,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZA,PRO-001368
Ewerby,SSE UTILITY SOLUTIONS LIMITED,Navenby 400kV Substation,,0,500,500,2029-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iaD,PRO-002017
Exeter (Tertiary),PIVOTED POWER LLP,Exeter 400kV Substation,,0,49.9,49.9,2025-11-01,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz7,PRO-001047
Exeter BESS and PV (Post-Interactivity Revised Offer),IGP SOLAR 20 LIMITED,Exeter 400kV Substation,,0,249,249,2029-12-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iNp,PRO-001827
Exeter Main,ENSO GREEN HOLDINGS LIMITED,Exeter 400kV Substation,,0,400,400,2031-11-24,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idf,PRO-002082
Exeter Main Tertiary,EXETER MAIN BATTERY LIMITED,Exeter 400kV Substation,,0,57,57,2024-05-01,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005izU,PRO-000452
Exeter Solar PV & BESS,Exeter Storage Limited,Exeter 400kV Substation,,0,290,290,2027-08-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivy,PRO-001666
Eye Grid Services Facility,CONRAD (EYE) LIMITED,Yaxley 400kV Substation,,0,0,0,2024-10-31,Consents Approved,Directly Connected,NGET,Reactive Compensation,a0l8e000000eww9,PRO-003688
Fairholme BESS,HB411MIN Limited,Minety 400kV Substation,,0,47.5,47.5,2025-02-28,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixg,PRO-001625
Fallago Rig 2,EDF ENERGY RENEWABLES LIMITED,Fallago 400kV Substation,,0,100,100,2028-01-31,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipG,PRO-000526
Fallago Rig Wind Farm,FALLAGO RIG WINDFARM LIMITED,Fallago 400kV Substation,,144,0,144,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ioo,PRO-000155
Fancott,SSE UTILITY SOLUTIONS LIMITED,Sundon 400kV Substation,,0,600,600,2031-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iu4,PRO-002174
Farnham BESS,Harmony FM Limited,Wrecclesham 33kV,,0,20,20,2023-03-01,Under Construction/Commissioning,Embedded,NGET,Energy Storage System,a0l4L0000005iSK,PRO-001939
Farr Wind Farm - Tomatin,FARR WINDFARM LIMITED,Beauly GSP,,92,0,92,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iop,PRO-000156
Fasnakyle G1 & G2,SSE GENERATION LIMITED,Fasnakyle GSP,,46,0,46,,Built,Directly Connected,SHET,Hydro,a0l4L0000005iml,PRO-000077
Fasnakyle G3 & G4,SSE GENERATION LIMITED,Fasnakyle GSP,,30.5,0,30.5,,Built,Embedded,SHET,Hydro,a0l4L0000005iV8,PRO-000078
Fasque Windfarm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Fasque Wind Farm 132kV Substation,,0,90,90,2028-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ibS,PRO-001009
Fawley CHP,ESSO PETROLEUM COMPANY LIMITED,Fawley 400kV Substation,,158,0,158,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iVU,PRO-000157
Faw Side Community Wind Farm,COMMUNITY WINDPOWER LIMITED,Faw Side Community Wind Farm Substation,,0,250,250,2025-10-31,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005isG,PRO-000297
Feckenham,ENSO GREEN HOLDINGS LIMITED,Feckenham 400kV Substation,1,0,200,200,2033-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikr,PRO-002189-1
Feckenham,ENSO GREEN HOLDINGS LIMITED,Feckenham 400kV Substation,2,0,100,300,2034-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikr,PRO-002189-2
Feckenham,ENSO GREEN HOLDINGS LIMITED,Feckenham 400kV Substation,3,0,100,400,2035-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikr,PRO-002189-3
Feckenham,IGP SOLAR 14 LIMITED,Feckenham 400kV Substation,,0,500,500,2029-07-21,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iOw,PRO-001600
Feckenham Energy Park,GREEN ENERGY MAB LTD,Feckenham 400kV Substation,,0,500,500,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iM7,PRO-002378
Feckenham Green Energy Centre,INNOVA RENEWABLES LIMITED,Feckenham 400kV Substation,,0,1025,1025,2032-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iit,PRO-001767
Feckenham Greener Grid Park,STATKRAFT UK LTD,Feckenham 400kV Substation,1,0,12,12,2026-01-31,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ibT,PRO-001008-1
Feckenham Greener Grid Park,STATKRAFT UK LTD,Feckenham 400kV Substation,2,0,138,150,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ibT,PRO-001008-2
Fell Wind Farm,ENERGYFARM UK FELL LLP,Fell Wind Farm 132/33kV Substation,,0,50,50,2028-10-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005izP,PRO-001755
Fenwick Solar Project,STARK ENERGY LIMITED,Thorpe Marsh 400kV Substation,,0,237.5,237.5,2032-04-16,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ix1,PRO-001915
Ferrybridge B BESS & Solar Substation,O&G Solar (SPV 19) Limited,Ferrybridge B 132kV Substation,,0,99.9,99.9,2035-10-24,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005j8V,PRO-002521
Ferrybridge B - NEL Hunter,Newton Energi Limited,Ferrybridge B GSP,,0,200,200,2035-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000001201H,PRO-003608
Ferrybridge C PV & BESS Substation,O&G Solar (SPV 19) Limited,Ferrybridge C 275kV Substation,,0,249.9,249.9,2035-10-24,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000evg6,PRO-003632
Ferrybridge D,KEADBY GENERATION LIMITED,Ferrybridge C 275kV Substation,1,0,310,310,2028-10-06,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005iac,PRO-001020-1
Ferrybridge D,KEADBY GENERATION LIMITED,Ferrybridge C 275kV Substation,2,0,910,1220,2030-10-04,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005iac,PRO-001020-2
Ferrybridge D,KEADBY GENERATION LIMITED,Ferrybridge C 275kV Substation,3,0,600,1820,2034-06-01,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005iac,PRO-001020-3
Fferm Solar Pentir,LIGHTSOURCE SPV 191 LIMITED,Pentir 400kV Substation,,0,57,57,2027-05-01,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ixK,PRO-001049
